City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
308,Waipawa,NZ,-41.4122,175.5153,51.55,75,40,8.57,scattered clouds
309,Kavieng,PG,-2.5744,150.7967,82.76,74,100,12.59,overcast clouds
310,Akcaabat,TR,41.0212,39.5715,78.67,89,75,2.3,broken clouds
311,Ambon,ID,-3.6954,128.1814,78.24,15,40,4.61,scattered clouds
312,Nurota,UZ,40.5614,65.6886,75.31,32,69,1.41,broken clouds
313,Ixtapa,MX,20.7,-105.2,91.22,66,40,11.5,scattered clouds
314,Kandla,IN,23.0333,70.2167,86.27,62,100,10.89,overcast clouds
315,Murgab,TM,37.4966,61.9714,76.87,36,0,4.61,clear sky
316,Santa Barbara,US,34.7333,-120.0343,88.36,13,0,6.91,clear sky
317,Telfs,AT,47.3,11.0667,74.68,70,53,4.29,broken clouds
318,Maragogi,BR,-9.0122,-35.2225,74.62,80,2,9.98,clear sky
319,Srednekolymsk,RU,67.45,153.6833,52.16,50,23,8.32,few clouds
320,Mosquera,CO,4.7059,-74.2302,64.49,59,40,9.22,scattered clouds
321,Tottori,JP,35.5,134.2333,80.67,83,75,4.61,broken clouds
322,Nangong,CN,37.3581,115.3744,82.33,77,0,7.38,clear sky
323,Acapulco,MX,16.8634,-99.8901,87.62,66,0,12.66,clear sky
324,Kuvandyk,RU,51.4781,57.3552,63.27,65,66,9.62,broken clouds
325,Santona,ES,43.4439,-3.4576,70.7,89,100,6.93,overcast clouds
326,Saint Anthony,US,45.0205,-93.218,88.93,38,0,5.75,clear sky
327,Nelson Bay,AU,-32.7167,152.15,61.0,99,96,3.0,overcast clouds
328,Poso,ID,-1.3959,120.7524,75.49,78,59,5.01,broken clouds
329,Lubango,AO,-14.9172,13.4925,61.03,33,0,4.43,clear sky
330,Wanaka,NZ,-44.7,169.15,45.32,88,100,9.78,overcast clouds
331,Lahat,ID,-3.8,103.5333,70.43,97,90,1.92,light rain
332,Kajaani,FI,64.2273,27.7285,62.65,77,0,4.61,clear sky
333,Esna,EG,25.2934,32.554,89.62,18,19,13.22,few clouds
334,Kismayo,SO,-0.3582,42.5454,75.43,76,1,18.21,clear sky
335,Latung,PH,5.5,120.8833,82.69,74,88,2.95,overcast clouds
336,Krasnoarmeysk,RU,51.0239,45.6969,67.3,69,22,8.08,few clouds
337,Creel,MX,27.75,-107.6333,72.77,50,74,7.23,broken clouds
338,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,88,0,8.95,clear sky
339,Matara,LK,5.9485,80.5353,77.92,83,100,15.61,overcast clouds
340,Viareggio,IT,43.8735,10.2558,85.01,63,0,3.38,clear sky
341,Paita,PE,-5.0892,-81.1144,66.07,78,75,17.2,broken clouds
342,Okhotsk,RU,59.3833,143.3,57.96,90,100,5.37,overcast clouds
343,Bairiki,KI,1.3292,172.9752,84.2,79,20,9.22,few clouds
344,Esperance,AU,-33.8667,121.9,48.04,74,93,17.72,light rain
